,param1,param2,r2_score_mean,r2_score_stddev
0,300,0.5,0.819329499170782,0.024793776065340268
1,300,1.0,0.8300404417083775,0.040549507685863975
2,300,2.0,0.8275232666634796,0.04611824067038634
3,300,5.0,0.8103597365055644,0.053405820222994886
4,300,10.0,0.8369378256337484,0.05484209087629071
5,150,0.5,0.8405182829909528,0.014005534813989768
6,150,1.0,0.8376734405337538,0.03883076577721099
7,150,2.0,0.8226874801131172,0.03827902862958429
8,150,5.0,0.8357053420216024,0.03531327190666704
9,150,10.0,0.8232988198412524,0.034974216082335856
10,50,0.5,0.831501470605291,0.01286453610463568
11,50,1.0,0.8225965910483017,0.03274332314786233
12,50,2.0,0.8224861002811099,0.02253803407707489
13,50,5.0,0.8239555569163161,0.04639221802080081
14,50,10.0,0.82199667994932,0.03163814234536261
15,20,0.5,0.8171488889204671,0.029800933068447038
16,20,1.0,0.8056603890495353,0.03323440187735118
17,20,2.0,0.823613397075498,0.024462620185516218
18,20,5.0,0.8144844512893045,0.025173025603119265
19,20,10.0,0.8211999881020431,0.04702749397531705
