,param1,param2,r2_score_mean,r2_score_stddev
0,300,0.5,0.8574528653189019,0.030528306653396387
1,300,1.0,0.8540768407120398,0.021256489377967237
2,300,2.0,0.8554911565327877,0.030050127397567537
3,300,5.0,0.8127501419431529,0.04809750075657323
4,300,10.0,0.7315347470811405,0.0685053095575566
5,150,0.5,0.8758522390557356,0.012414878318489184
6,150,1.0,0.8745852263646633,0.010536518947263016
7,150,2.0,0.8653689172039287,0.01836159630377488
8,150,5.0,0.8377925525235297,0.0256268396588708
9,150,10.0,0.7278787559716953,0.03718133444653192
10,50,0.5,0.8979415087603746,0.01441250309121285
11,50,1.0,0.8951472667485957,0.030190775776465305
12,50,2.0,0.8852554451938884,0.020541957827734002
13,50,5.0,0.8473801930853193,0.019564577893312368
14,50,10.0,0.7327331839956213,0.03641862080255479
15,20,0.5,0.8831874182152297,0.02037403850635306
16,20,1.0,0.8833745158574482,0.02429342555716148
17,20,2.0,0.8750448419294579,0.019640922355498976
18,20,5.0,0.8368710027316315,0.034850107440262956
19,20,10.0,0.7110185779557495,0.028418932030182902
