,predicted_val,actual_val
0,7.574169866794962,6.583895923468051
1,7.574169866794962,7.163406507510334
2,9.10809520788539,9.31126060100797
3,0.9354433978407222,1.3448566047246235
4,0.7198893975545936,0.3821221293711076
5,5.6685879117852505,2.1609505569687952
6,7.23822406786502,6.691414322708451
7,9.74071721626478,9.311006071926004
8,6.266651193556348,9.911021293898113
9,8.711335102975534,9.911022543831592
10,1.245639359149967,0.538917226913032
11,9.253296469146399,8.711316584913291
12,2.1214433797231056,2.133967816025773
13,2.1199890463551156,2.161604479352166
14,9.31100079403345,8.711313557780105
15,9.311239349532647,9.311025143738188
16,9.311240314504966,8.711384900018826
17,8.11173580420773,9.311071880759688
18,9.340857911007037,9.311021697367533
19,8.99485901064436,9.311067595744351
20,9.21301258215223,7.512118689640559
21,3.1717873370131895,2.1412881495403586
22,9.911204903648002,0.8200642988215979
23,9.403629743519437,9.311237942021458
24,9.577796439847058,9.911142054469655
25,1.434477750267545,0.8999379658540207
26,2.165119668965522,2.064726282480606
27,9.655556740107711,8.711356936466132
28,8.256503825346329,8.11170299550563
29,3.62028617592519,2.1503064586836924
30,10.0,0.4883688934264501
31,9.191236745074253,9.311219365166888
32,9.311227294619586,9.311000411901755
33,8.711551263719052,10.0
34,9.126671300966645,9.31100132270116
35,6.196171784148424,4.601427769321343
36,9.655507600639828,10.0
37,9.041731411495368,8.711338192293836
38,9.311116023148315,10.0
39,2.0992978828425835,2.109026093416552
40,4.887320142911297,3.0856208265100373
41,2.1305638882293683,2.1053862056659414
42,9.510265144215513,8.111675106392013
43,9.111146274515992,8.111668924859774
44,9.21819313010429,8.71135656162503
45,8.711550566358119,10.0
46,9.311025203826993,9.31099989892517
47,0.7501610559108639,1.101647838678406
48,9.340783025337556,9.910937393471864
49,9.433308794468942,9.311400090784185
50,9.40978003822261,9.311472481084047
51,5.9063018202700075,9.311277251518064
52,4.159125491215638,4.826344526656189
53,6.8096441723762515,7.216226483593803
54,2.2327049293084604,1.9526963770603063
55,9.430164892571428,9.31127450266639
56,8.467668740741837,9.311240955634757
57,10.0,8.711537816953758
58,8.43496441621512,8.7113153019865
59,2.0992978828425835,2.100569920408355
60,8.985223400200438,9.910885080452148
61,9.655777088908355,9.311293796304136
62,8.901880117802484,9.311316156257256
63,8.075583589405452,9.311134987051686
64,3.1854173760834588,0.8478068381294577
65,2.0321377731469217,0.3373916195089086
66,9.911207838191299,9.910960506034776
67,9.311231256921186,9.311007020662966
68,1.3381832008902461,0.854729989839293
69,2.3883625148713605,2.0850869339463585
70,9.311348027967469,10.0
71,9.032492461197588,8.11183908783515
72,5.373285467025914,7.812903834689696
73,9.611121789477533,10.0
74,8.055714605359377,9.311000144421868
75,9.011385190116924,8.111724370898559
76,9.655646603211183,9.311002134200637
77,9.311203958724906,10.0
78,4.223871483137232,3.8431050061912138
79,2.008126562399486,1.996126019175578
80,8.828324308643763,9.311006953339923
81,9.271490762559333,10.0
