,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
0,ID1num_kernels100_n_estimators300,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=100_n_estimators_300,100,300,0.28347628500741884,7.221347181367693,2.6837730702635514,0.033782352182884806,0.753732924147514,0.13678190193092926,19882803.2,5.447968651796691,35083379.104691945,0.14577286877389717
1,ID2num_kernels100_n_estimators150,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=100_n_estimators_150,100,150,0.32506491277748156,6.746962765804398,2.595402088566289,0.06212455312938456,0.5394684340705334,0.10416700278947882,3088384.0,3.7581220410298557,4688751.868498907,0.15810312646587546
2,ID3num_kernels100_n_estimators50,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=100_n_estimators_50,100,50,0.27453417233479777,7.304912540714918,2.7006501717761218,0.054983200221497025,0.57925825829866,0.10677635693598686,1698201.6,2.5372044306015598,3165130.139328214,0.06903965461828884
3,ID4num_kernels100_n_estimators20,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=100_n_estimators_20,100,20,0.24943853653594275,7.596079965941364,2.753076085341551,0.03365238161959716,0.6921797120266373,0.12904276136927162,-3333324.8,2.196016380796209,6190803.614863013,0.06700586441339537
4,ID5num_kernels500_n_estimators300,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=500_n_estimators_300,500,300,0.8476215069420967,1.5300444214310835,1.236003757976719,0.014929669407494978,0.11844245104239574,0.04836457069500648,4653056.0,33.84038787737954,7144695.431805389,0.10119932651844168
5,ID6num_kernels500_n_estimators150,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=500_n_estimators_150,500,150,0.8567608874914588,1.4517613975081258,1.1995215106792254,0.027462784523813663,0.2833603438841747,0.11362016953848844,1557299.2,18.291284391609953,4070270.363399778,0.22061930552880837
6,ID7num_kernels500_n_estimators50,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=500_n_estimators_50,500,50,0.8621562837002144,1.3784650681011157,1.1707318347821662,0.023591299293079238,0.2044621779399174,0.08861173245512197,1821900.8,7.611794651206583,3694088.27572739,0.12514427606550058
7,ID8num_kernels500_n_estimators20,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=500_n_estimators_20,500,20,0.8608654563187935,1.4074478559920753,1.173203805938514,0.040169086993656636,0.3968140893536893,0.17618367042226346,1983283.2,4.474397971807048,4279575.1295229485,0.13223515691621285
8,ID9num_kernels1000_n_estimators300,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_300,1000,300,0.8578583425152733,1.4309809097063724,1.1909293978821796,0.032966865924351475,0.28404726800218244,0.1125525609053909,-2234777.6,76.11210988983512,5842234.71581379,0.29125680558444944
9,ID10num_kernels1000_n_estimators150,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_150,1000,150,0.8700237681293157,1.331576675884006,1.134030822182859,0.04117178388260268,0.45859587865269036,0.2134262641365275,370278.4,39.73962564477697,27753813.35717755,0.1466296693999738
10,ID11num_kernels1000_n_estimators50,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_50,1000,50,0.8695380428622063,1.3254496681129653,1.1463383086726542,0.021582966817103047,0.24996560165154696,0.10657462260071084,419430.4,15.52179083840456,1083388.825401776,0.214339157992097
11,ID12num_kernels1000_n_estimators20,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_20,1000,20,0.8730461490164545,1.2966243064360592,1.123178666050935,0.03600361694874028,0.4602837179785442,0.18733390126750019,515276.8,7.993512420798652,84164565.9954577,0.12253207997863186
12,ID13num_kernels2000_n_estimators300,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_300,2000,300,0.851080247626282,1.4780671013510616,1.2075569109226634,0.04273982473881515,0.33224098472531277,0.14097307627336553,5197824.0,162.47776849577204,9972911.662976986,0.6405842818978715
13,ID14num_kernels2000_n_estimators150,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_150,2000,150,0.8624735333105281,1.3993060266735577,1.173487394364816,0.03053567699092147,0.3381051572274494,0.14910855756941915,4464640.0,84.26613919637165,9461982.351673078,0.24019099809626357
14,ID15num_kernels2000_n_estimators50,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_50,2000,50,0.8698490504890524,1.3233333457769905,1.1399091154724226,0.031505846065531654,0.3261916475608065,0.1547273545300559,-36044.8,31.854521090188065,205346.49645357963,0.07352836091501953
15,ID16num_kernels2000_n_estimators20,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_20,2000,20,0.8747874426736905,1.260493967634086,1.114171794959113,0.032286337738214446,0.29918136359179814,0.1382576542245468,-40140.8,16.030970197403803,336763.94347993965,0.11088086693285841
