,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
0,ID1n_estimators300_window_size0.5,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_0.5,300,0.5,0.8574528653189019,1.4406229489988551,1.1919483703917229,0.030528306653396387,0.34342957579353195,0.141003657113464,39333888.0,17.579687528638168,76847466.90607485,0.15325137700831526
1,ID2n_estimators300_window_size1.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_1.0,300,1.0,0.8540768407120398,1.480925040994642,1.212124474947368,0.021256489377967237,0.27436224538062454,0.10807080192267102,4159897.6,12.015310807619244,11057829.909324408,0.1449394372484192
2,ID3n_estimators300_window_size2.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_2.0,300,2.0,0.8554911565327877,1.459423638304706,1.2006185656028385,0.030050127397567537,0.3232080487969201,0.13393542561431782,11768627.2,9.217088989028706,8090818.919246738,0.1114740858762446
3,ID4n_estimators300_window_size5.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_5.0,300,5.0,0.8127501419431529,1.8956799366468347,1.3664636922183766,0.04809750075657323,0.460560590182075,0.1686917736457728,44022169.6,7.521921142213978,59500623.45696137,0.15665958951434697
4,ID5n_estimators300_window_size10.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_10.0,300,10.0,0.7315347470811405,2.7123024621541987,1.633433616728438,0.0685053095575566,0.6920212825176331,0.2102310202982715,11639193.6,6.886679642368108,16820207.836427152,0.1333051056187237
5,ID6n_estimators150_window_size0.5,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=150_window_size_0.5,150,0.5,0.8758522390557356,1.2544923499770504,1.1191843655025622,0.012414878318489184,0.09769346444223034,0.04380303632943449,13247283.2,13.949446277390233,28975437.213532142,0.10921839883421375
6,ID7n_estimators150_window_size1.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=150_window_size_1.0,150,1.0,0.8745852263646633,1.2653133276050668,1.1243718141267363,0.010536518947263016,0.07432623291276438,0.03318661179480443,1425408.0,10.143925441009923,34382679.88451023,0.16927230362368648
7,ID8n_estimators150_window_size2.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=150_window_size_2.0,150,2.0,0.8653689172039287,1.3664681565790744,1.1657630859220958,0.01836159630377488,0.20117439204246282,0.0863978245123488,6375014.4,8.34120539240539,4638594.116366967,0.1461100989020848
8,ID9n_estimators150_window_size5.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=150_window_size_5.0,150,5.0,0.8377925525235297,1.6429480659470888,1.2785871233455157,0.0256268396588708,0.2345139931084098,0.09034951002704465,5419008.0,7.160644519794732,4770611.745101712,0.14764980094070482
9,ID10n_estimators150_window_size10.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=150_window_size_10.0,150,10.0,0.7278787559716953,2.7813614990823146,1.6584476390833465,0.03718133444653192,0.5682467681433021,0.17582072545973884,18119884.8,6.847198453382589,24518783.327380717,0.10604767499183483
10,ID11n_estimators50_window_size0.5,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_0.5,50,0.5,0.8979415087603746,1.0378755702872104,1.013405055492329,0.01441250309121285,0.2126225583219414,0.10433486373116038,-11064115.2,11.546018535201437,23070412.210726276,0.1477570334662064
11,ID12n_estimators50_window_size1.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_1.0,50,1.0,0.8951472667485957,1.0501662482867071,1.0160025082000481,0.030190775776465305,0.2829865760713417,0.1338101327176609,-7291699.2,8.911700555379502,43598081.47309166,0.12955232904504332
12,ID13n_estimators50_window_size2.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_2.0,50,2.0,0.8852554451938884,1.1541169691293933,1.0720364872401444,0.020541957827734002,0.15449699955686544,0.06967595822954241,528384.0,7.632613328564912,5909148.596902535,0.1364181107983151
13,ID14n_estimators50_window_size5.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_5.0,50,5.0,0.8473801930853193,1.5441302283759781,1.2394311301133625,0.019564577893312368,0.22401279271915675,0.08911061711093181,2176614.4,6.883786171209067,51488981.8156111,0.15070629792484486
14,ID15n_estimators50_window_size10.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_10.0,50,10.0,0.7327331839956213,2.7064918343837094,1.641252607476861,0.03641862080255479,0.37203611638646117,0.11305623748433612,2232320.0,6.68783198739402,33290876.744891703,0.1093702093416139
