,predicted_val,actual_val
0,8.81756937737341,9.311398016604084
1,9.360700158942018,9.911184580852048
2,9.117694452904402,9.91106040889772
3,9.69623216248938,10.0
4,9.273322899922366,10.0
5,9.425460055695233,9.311554177816642
6,7.64045985036066,2.1609505569687952
7,8.993263326923927,9.911210071368115
8,9.461639632553608,10.0
9,1.127653381130317,0.5470927706752509
10,8.686869750814422,9.911021293898113
11,9.34438031700978,9.911158286101962
12,2.1205035906723673,0.538917226913032
13,1.4108526919795512,1.08653236966891
14,1.242239911847463,2.133967816025773
15,6.520830566636505,6.815484718706331
16,9.15397843609027,9.311071880759688
17,9.447864118534403,9.910748749846125
18,2.842908623687218,2.1412881495403586
19,9.514490820354201,9.311553655699631
20,9.366314322406264,0.8200642988215979
21,9.179400948409777,9.311175165815616
22,8.929158211698278,8.111812652373656
23,9.455146849899325,9.311131670305622
24,9.695916157699386,9.311465426775232
25,9.20163170775545,8.711439122746897
26,9.05753826961864,9.311000742032872
27,9.299669668024768,9.311280528831825
28,0.9831543985283684,2.0761743802665857
29,8.914547690053443,9.311000866143326
30,2.4092603666918295,0.5109594088869536
31,9.300808887699738,7.512140065237869
32,9.506613717541056,9.311232298364372
33,8.960801656855422,9.911097170561282
34,0.014058216397922152,0.4454036614895088
35,8.539364593574758,9.911010124575206
36,9.23245154468763,9.311292877996497
37,9.336159431733769,8.711338192293836
38,8.744852164365291,9.911205365100232
39,6.597724794479211,8.473715146714254
40,4.257016651310649,4.223871483137239
41,8.832644102649883,8.711605482046714
42,3.4581851015941174,3.05081192736383
43,1.4333264067516716,2.127106942737149
44,8.284470261269984,9.311232368615196
45,1.0900396063728195,2.1053862056659414
46,3.6086537489762556,2.400085610452753
47,9.541978862392975,10.0
48,9.20472593469046,9.311180538902647
49,8.84791259153382,10.0
50,1.2252754596882252,2.141682382121016
51,9.286675463800064,9.911080158510268
52,9.031652716049395,10.0
53,3.164800217236415,2.383554235615394
54,9.459620418704553,9.31099989892517
55,9.410066802966991,9.311239351069984
