testID,paramMagnitudes,objectFinalPositionError,
MODELFILE01_Test_001_26_04_2025_06_19_30,4.767559672614391,0.4337532655338715,
MODELFILE01_Test_002_26_04_2025_06_19_30,6.675199449481288,0.9038092404054825,
MODELFILE01_Test_003_26_04_2025_06_19_30,4.619155656952227,0.3387709232524574,
MODELFILE01_Test_004_26_04_2025_06_19_30,5.514284825059049,0.2021347783648914,
MODELFILE01_Test_005_26_04_2025_06_19_30,5.860592761097932,0.2464503094897326,
MODELFILE01_Test_006_26_04_2025_06_19_30,6.439602824645383,0.24230723918013153,
MODELFILE01_Test_007_26_04_2025_06_19_30,8.260223537831171,0.12490238278347711,
MODELFILE01_Test_008_26_04_2025_06_19_30,6.5567552029955305,0.23368481360601714,
MODELFILE01_Test_009_26_04_2025_06_19_30,5.0989328297001935,0.30559952237608956,
MODELFILE01_Test_011_26_04_2025_06_19_30,4.395562564872565,0.11615144802997754,
MODELFILE01_Test_012_26_04_2025_06_19_30,4.4718227780538236,0.1786219301418155,
MODELFILE01_Test_013_26_04_2025_06_19_30,4.303132689434953,0.33163911274881686,
MODELFILE01_Test_015_26_04_2025_06_19_30,5.331496919391498,0.10739929460307393,
MODELFILE01_Test_016_26_04_2025_06_19_30,3.123415661332709,0.1012952174689232,
MODELFILE01_Test_017_26_04_2025_06_37_22,5.903103243564767,0.2720692052730456,
MODELFILE01_Test_018_26_04_2025_06_37_22,4.7009936483118695,0.14247893808368095,
MODELFILE01_Test_021_26_04_2025_06_37_22,5.256033209069989,0.26536665890782757,
MODELFILE01_Test_022_26_04_2025_06_37_22,5.935058325314422,0.27320691451671164,
MODELFILE01_Test_023_26_04_2025_06_37_22,3.003022816045097,0.10173334866071808,
MODELFILE01_Test_024_26_04_2025_06_37_22,5.50739467143447,0.11262727892843126,
MODELFILE01_Test_025_26_04_2025_06_37_22,4.190131372902636,0.2634889374282466,
MODELFILE01_Test_026_26_04_2025_06_37_22,3.4809334289197444,0.3175542039729185,
MODELFILE01_Test_027_26_04_2025_06_37_22,6.475485939414402,0.21939778306485302,
MODELFILE01_Test_028_26_04_2025_06_37_22,6.381685010491536,0.1157807057570205,
