,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
33,SimAnnealingSingle(1330),7,286,518,12.406107835597329,0.0,12.155576245789977,0.22158445153684023,5,"{'hypervolume': np.float64(12.155576245789977), 'igd': np.float64(0.22158445153684023)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
34,SimAnnealingSingle(1370),7,281,518,12.406107835597329,0.0,12.329985938621174,0.18715599334135027,5,"{'hypervolume': np.float64(12.329985938621174), 'igd': np.float64(0.18715599334135027)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
35,SimAnnealingSingle(1410),7,306,518,12.406107835597329,0.0,12.406107835597329,0.0,7,"{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",1.0
36,SimAnnealingSingle(1450),7,288,518,12.406107835597329,0.0,12.406107835597329,0.0,7,"{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",1.0
37,SimAnnealingSingle(1490),7,320,518,12.406107835597329,0.0,12.406107835597329,0.0,7,"{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",1.0
38,SimAnnealingMulti(10),7,22,518,12.406107835597329,0.0,12.328956036664723,0.19199754229898264,3,"{'hypervolume': np.float64(12.328956036664723), 'igd': np.float64(0.19199754229898264)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
39,SimAnnealingMulti(50),7,40,518,12.406107835597329,0.0,12.328956036664723,0.19199754229898264,3,"{'hypervolume': np.float64(12.328956036664723), 'igd': np.float64(0.19199754229898264)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
40,SimAnnealingMulti(90),7,48,518,12.406107835597329,0.0,12.323429176142225,0.19182715476034734,3,"{'hypervolume': np.float64(12.323429176142225), 'igd': np.float64(0.19182715476034734)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.2857142857142857
41,SimAnnealingMulti(130),7,63,518,12.406107835597329,0.0,12.338213151584462,0.12682505583449133,4,"{'hypervolume': np.float64(12.338213151584462), 'igd': np.float64(0.12682505583449133)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
42,SimAnnealingMulti(170),7,83,518,12.406107835597329,0.0,12.328956036664723,0.19199754229898264,3,"{'hypervolume': np.float64(12.328956036664723), 'igd': np.float64(0.19199754229898264)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
