,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
6,ID7n_estimators200_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_0.5,200,0.5,0.7390834506419189,0.006867990387261146,0.0822237770616767,0.0474660776482264,0.0017524127827902433,0.01035571692220444,0.0,11.777201293801772
20,ID21n_estimators50_window_size2.0,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_2.0,50,2.0,0.7281463993850824,0.007072299725334283,0.0837418021063723,0.04954775262443806,0.0012998650018372826,0.007720771030892105,0.0,6.446455776601215
5,ID6n_estimators300_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_20.0,300,20.0,0.7185498681729012,0.007418983909660734,0.08551396709396718,0.035356420134240535,0.0018103051058137782,0.01031238776969881,0.0,15.61267872560129
2,ID3n_estimators100_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_0.3,100,0.3,0.7074063706635847,0.007611099950843902,0.08706008618918842,0.03667778625087535,0.0009970822794039046,0.0056250638729693145,0.0,7.982303229000536
21,ID22n_estimators50_window_size5.0,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_5.0,50,5.0,0.7039249657374784,0.007847159065536369,0.08743439304748948,0.07126165214929271,0.0025365585913816333,0.01422624258029826,0.0,6.467840175802121
14,ID15n_estimators100_window_size2.0,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_2.0,100,2.0,0.7020339451327156,0.007896541840917495,0.08773342144004437,0.05273123211973234,0.0024617163042922104,0.014120502942213425,0.0,8.103166461994988
29,ID30n_estimators25_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=25_window_size_20.0,25,20.0,0.6982923967385941,0.00785159520921857,0.0882621327275112,0.05555777721907118,0.0014623790064828206,0.00783524955631706,0.0,5.571015192999039
1,ID2n_estimators200_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_0.3,200,0.3,0.6971256534910909,0.007893181711115766,0.0886730562842311,0.02561195921200663,0.0009770158873249276,0.005501890614084353,0.0,11.617152242799056
12,ID13n_estimators100_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_0.5,100,0.5,0.6966790420817391,0.007978678392986794,0.08828692547530183,0.07429999886987262,0.0023252498282241942,0.013568241710158883,0.0,8.127185106195975
35,ID36n_estimators5_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=5_window_size_20.0,5,20.0,0.6954827234525262,0.008010796804371712,0.08850817280941006,0.07177355651399149,0.0022244135473516815,0.013307898042565457,0.0,4.826013452003826
17,ID18n_estimators100_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_20.0,100,20.0,0.694766275716954,0.007902565707899272,0.08880244620095648,0.02529352616462324,0.0007352336721151162,0.00408549343721217,0.0,8.08068923719984
10,ID11n_estimators200_window_size10.0,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_10.0,200,10.0,0.6941864020740611,0.008030751815272092,0.08903789463568977,0.052588765509225956,0.0018202587990127615,0.010149144501675866,0.0,11.750335474798339
3,ID4n_estimators50_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_0.3,50,0.3,0.6940719556991353,0.007983206884897232,0.08878123156064348,0.0460725871820024,0.0017964649170592061,0.01005484000233892,0.0,6.340583666801104
0,ID1n_estimators300_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_0.5,300,0.5,0.692047275249737,0.007924743041965537,0.08813536583252912,0.09719436781003735,0.0022277694474084147,0.012525986249864455,0.0,15.870174493597005
