,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
11,ID12num_kernels2000_n_estimators5,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_5,2000,5.0,0.473634164759,1.1182017535981819,1.0573334066361384,0.016358116714083486,0.033401880705360154,0.0157423254127228,0.0,3.7002199712005677
30,ID31n_estimators5_window_size0.5,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=5_window_size_0.5,5,0.5,0.46444797383865827,1.138326371370352,1.0659774074530337,0.023473655382064036,0.09660390781536209,0.04492814452056163,0.0,4.429955933603924
31,ID32n_estimators5_window_size1.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=5_window_size_1.0,5,1.0,0.461223401931173,1.1464100750578237,1.0698175470797993,0.023434220679447892,0.09333243802220757,0.04359462143412793,0.0,3.7917270310019378
3,ID4max_alpha5_window_size5.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=5_window_size_5.0,5,5.0,0.451563692911266,1.1656158798504614,1.078167393887314,0.03517443204972561,0.11987039626657973,0.05631119434622993,0.0,3.342671032602084
15,ID16max_alpha20_window_size5.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=20_window_size_5.0,20,5.0,0.4501313589731672,1.1686273497835236,1.0806810247012948,0.032348456543279,0.05875064111634617,0.0274931379453729,0.0,3.3002164229983464
9,ID10max_alpha10_window_size5.0,ETERRY-HumanDist_TSFreshWin_Ridge_max_alpha=10_window_size_5.0,10,5.0,0.4480289248672191,1.1703983525064952,1.0813148180862346,0.02137188260057656,0.07357272055246887,0.0340090678147483,0.0,3.352104263601359
21,ID22n_estimators50_window_size5.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=50_window_size_5.0,50,5.0,0.44640357365355426,1.1739981031900064,1.0824185104821438,0.033170402454783136,0.10509355373039675,0.0486648883243754,0.0,3.3009556883975164
27,ID28n_estimators25_window_size5.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=25_window_size_5.0,25,5.0,0.4410000815814231,1.1861545969511158,1.088178880359852,0.026910172066619664,0.09787381735888893,0.044959106862739746,0.0,3.311902834803914
15,ID16n_estimators100_window_size5.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=100_window_size_5.0,100,5.0,0.4368577269332644,1.1984248814482164,1.0933809812520507,0.049683777025943725,0.11649204479890231,0.054248606291028366,0.0,3.3258308839984236
9,ID10n_estimators200_window_size5.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=200_window_size_5.0,200,5.0,0.4286226055498991,1.2180644961968916,1.1029915234253047,0.030032263074739298,0.08496622681720895,0.03839525294638694,0.0,3.316147670999635
32,ID33n_estimators5_window_size2.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=5_window_size_2.0,5,2.0,0.4236217336367365,1.225799840194075,1.1062574841770911,0.025073223059831024,0.09973060394410445,0.04465667807000276,0.0,3.5094009698048465
3,ID4n_estimators300_window_size5.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=300_window_size_5.0,300,5.0,0.4219422258821067,1.2318103962411435,1.1088669401899698,0.02566050332578333,0.10344465553692722,0.047164660444847795,0.0,3.36057511040417
33,ID34n_estimators5_window_size5.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=5_window_size_5.0,5,5.0,0.29259919525469796,1.5038474186268709,1.2259955625910555,0.00825237610200184,0.06884734433319063,0.027969610900266603,0.0,3.2525762407982257
4,ID5num_kernels100_n_estimators25,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=100_n_estimators_25,100,25.0,0.1583486683162302,1.7898122699042927,1.3369044295220942,0.015364598216861034,0.1305513227108284,0.04998816088332106,0.0,1.4644347371999173
0,ID1num_kernels100_max_alpha5,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=100_max_alpha_5,100,5.0,0.15767916915956165,1.793838050818976,1.3380134171449574,0.0309354375609718,0.16124753649484522,0.05965019999170454,0.0,1.4402768118015956
2,ID3num_kernels100_max_alpha20,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=100_max_alpha_20,100,20.0,0.15009318310118022,1.8058501816908081,1.3427296658547139,0.03155901977931357,0.14148637390173305,0.05410384574590029,0.0,1.4037344582000515
1,ID2num_kernels100_max_alpha10,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=100_max_alpha_10,100,10.0,0.14869314798902272,1.812444006598931,1.3454811423991582,0.027766431921736164,0.12446224822607131,0.04609232091343755,0.0,1.442035448597744
