testID,paramMagnitudes,objectFinalPositionError,Unnamed: 3
MODELFILE01_Test_006_26_04_2025_06_19_30,6.439602824645383,0.2423072391801315,
MODELFILE01_Test_016_26_04_2025_06_19_30,3.123415661332709,0.1012952174689232,
MODELFILE01_Test_054_26_04_2025_07_14_25,3.979393803991861,0.1266995417074627,
MODELFILE01_Test_069_26_04_2025_07_32_47,6.355542433377282,0.3751466644513664,
MODELFILE01_Test_071_26_04_2025_07_32_47,7.260246652146953,0.4058553766303797,
MODELFILE01_Test_072_26_04_2025_07_32_47,3.958620841997605,0.3067553071368937,
MODELFILE01_Test_079_26_04_2025_07_32_47,5.121516097807672,0.2103090096295096,
MODELFILE01_Test_083_26_04_2025_07_50_30,5.914866249835711,0.3924370878789417,
MODELFILE01_Test_100_26_04_2025_08_09_04,5.8702205248383565,0.3906587341768309,
MODELFILE01_Test_118_26_04_2025_08_26_18,1.730519136638737,0.3837508674176772,
MODELFILE01_Test_121_26_04_2025_08_26_18,4.799515482624145,0.4649976520808789,
MODELFILE02_Test_002_26_04_2025_10_12_08,5.965091149394129,0.2223613744097129,
MODELFILE02_Test_009_26_04_2025_10_12_08,5.613632124637775,0.0580027794888984,
MODELFILE02_Test_023_26_04_2025_10_29_20,4.065298713363651,0.4600454705507974,
MODELFILE02_Test_025_26_04_2025_10_29_20,5.252139196548486,0.4118682084049696,
MODELFILE02_Test_031_26_04_2025_10_29_20,4.107873872070115,0.3628495409689256,
MODELFILE02_Test_034_26_04_2025_10_47_52,6.425696889393079,0.2259426320415128,
MODELFILE02_Test_035_26_04_2025_10_47_52,3.695473832205316,0.258072518181113,
MODELFILE02_Test_037_26_04_2025_10_47_52,4.415773761709163,0.2299748454253848,
MODELFILE02_Test_038_26_04_2025_10_47_52,4.879898239232148,0.2559060537925256,
MODELFILE02_Test_039_26_04_2025_10_47_52,3.665238132554232,0.2317175179068562,
MODELFILE02_Test_047_26_04_2025_10_47_52,6.18389952486363,0.0859440429147646,
MODELFILE02_Test_060_26_04_2025_11_06_24,3.9309284417663126,0.2307643125353422,
MODELFILE02_Test_073_26_04_2025_11_24_46,4.517354134701389,0.3119402598245973,
MODELFILE02_Test_081_26_04_2025_11_43_09,5.667603285393204,0.2110179272478985,
MODELFILE02_Test_084_26_04_2025_11_43_09,4.377075486372002,0.3926763663654129,
MODELFILE02_Test_085_26_04_2025_11_43_09,6.753917149006012,0.476736818647247,
MODELFILE02_Test_101_26_04_2025_12_01_42,3.0494010831423792,0.1819111912868416,
MODELFILE02_Test_102_26_04_2025_12_01_42,2.001208968484807,0.3154366922636096,
MODELFILE02_Test_104_26_04_2025_12_01_42,4.660621223783876,0.2452148468470035,
MODELFILE02_Test_106_26_04_2025_12_01_42,3.9669623716077647,0.1443186401084712,
MODELFILE02_Test_107_26_04_2025_12_01_42,3.998037737745437,0.2517019609333032,
MODELFILE02_Test_111_26_04_2025_12_01_42,5.835467876550364,0.3147125235945172,
MODELFILE03_Test_004_27_04_2025_19_24_12,5.908071296222384,0.0642587809587427,
MODELFILE03_Test_021_27_04_2025_19_41_24,4.786697528168285,0.220351466956724,
MODELFILE03_Test_054_27_04_2025_20_17_48,4.312379805342104,0.2946210030765693,
MODELFILE03_Test_059_27_04_2025_20_17_48,4.084186865415286,0.1656270185955773,
MODELFILE03_Test_060_27_04_2025_20_17_48,1.33064040569811,0.2334277754739734,
MODELFILE03_Test_072_27_04_2025_20_35_30,1.202155765865847,0.3054772563282194,
MODELFILE03_Test_078_27_04_2025_20_35_30,6.806424915862367,0.2292379654825537,
MODELFILE03_Test_083_27_04_2025_20_53_13,3.442232611070999,0.4475810647656506,
MODELFILE03_Test_111_27_04_2025_21_10_27,2.51556435981518,0.2050945277769817,
MODELFILE03_Test_121_27_04_2025_21_29_01,2.657300105000295,0.4393597312705237,
MODELFILE03_Test_124_27_04_2025_21_29_01,3.8853248318406015,0.1469714884900242,
MODELFILE04_Test_004_28_04_2025_05_09_37,4.8075038696995325,0.3667432153253993,
MODELFILE04_Test_009_28_04_2025_05_09_37,8.086234534822413,0.3549085259910613,
MODELFILE04_Test_010_28_04_2025_05_09_37,6.823884814498353,0.2391671318506728,
MODELFILE04_Test_015_28_04_2025_05_09_37,4.856758069049777,0.1866533566563686,
MODELFILE04_Test_026_28_04_2025_05_28_09,3.38344686891768,0.1791226670643586,
MODELFILE04_Test_053_28_04_2025_06_05_13,4.71958303826501,0.2593382304172417,
MODELFILE04_Test_058_28_04_2025_06_05_13,6.009246806836025,0.1507015840703312,
MODELFILE04_Test_060_28_04_2025_06_05_13,4.556775574651576,0.432072137424061,
MODELFILE04_Test_066_28_04_2025_06_23_45,1.938480583749477,0.209492996471009,
MODELFILE04_Test_090_28_04_2025_06_40_48,4.516710575234265,0.1458577703302149,
MODELFILE04_Test_104_28_04_2025_06_58_41,4.111451306517943,0.222346519799109,
MODELFILE04_Test_105_28_04_2025_06_58_41,5.076165021551244,0.3910552541760976,
MODELFILE04_Test_109_28_04_2025_06_58_41,4.901497342920662,0.2931580150127286,
MODELFILE04_Test_112_28_04_2025_06_58_41,2.2032124821018746,0.2776670200157952,
MODELFILE04_Test_116_28_04_2025_07_17_15,2.521071967637259,0.3690765865973944,
MODELFILE04_Test_124_28_04_2025_07_17_15,4.016775763792368,0.4096496889918506,
MODELFILE05_Test_005_29_04_2025_19_29_27,6.50624682642869,0.2001014335137268,
MODELFILE05_Test_008_29_04_2025_19_29_27,7.678762712884017,0.2858677551012222,
MODELFILE05_Test_021_29_04_2025_19_47_19,7.737392862308811,0.4214587535117544,
MODELFILE05_Test_038_29_04_2025_20_05_10,4.707745597900191,0.4049301144074076,
MODELFILE05_Test_051_29_04_2025_20_23_02,2.9472764379814107,0.3268940358299046,
MODELFILE05_Test_056_29_04_2025_20_23_02,4.707745597900191,0.3450450720934197,
MODELFILE05_Test_063_29_04_2025_20_23_02,3.6644691291693663,0.3567083565399169,
MODELFILE05_Test_065_29_04_2025_20_41_35,2.4505752654784327,0.3863415306190672,
MODELFILE05_Test_070_29_04_2025_20_41_35,3.670055892021585,0.3915862771904128,
MODELFILE05_Test_076_29_04_2025_20_41_35,3.6644691291693663,0.3571798627536469,
MODELFILE05_Test_079_29_04_2025_20_41_35,5.087156158265056,0.3619250915430507,
MODELFILE05_Test_089_29_04_2025_21_00_08,3.722210287250841,0.2392184004253668,
MODELFILE05_Test_098_29_04_2025_21_18_01,3.89556648937422,0.3654602979915362,
MODELFILE05_Test_099_29_04_2025_21_18_01,4.846765944829155,0.2316876229477943,
MODELFILE05_Test_106_29_04_2025_21_18_01,5.4342948469529215,0.4315669361233831,
MODELFILE05_Test_119_29_04_2025_21_36_35,3.5151207633430235,0.3480028422098329,
MODELFILE05_Test_122_29_04_2025_21_36_35,4.549906014967695,0.4552131935390078,
MODELFILE06_Test_007_30_04_2025_04_04_52,4.773146678975085,0.0915789550761281,
MODELFILE06_Test_013_30_04_2025_04_04_52,5.860490069729325,0.4491366746033057,
MODELFILE06_Test_021_30_04_2025_04_23_24,4.75687303670921,0.3453796574850651,
MODELFILE06_Test_026_30_04_2025_04_23_24,6.563504158039336,0.4754979840418709,
MODELFILE06_Test_027_30_04_2025_04_23_24,4.3900304707160185,0.2786713745776598,
MODELFILE06_Test_044_30_04_2025_04_41_55,2.471409579280765,0.3271177458961339,
MODELFILE06_Test_046_30_04_2025_04_41_55,4.414450341767522,0.2195852279397711,
MODELFILE06_Test_066_30_04_2025_05_18_20,5.447329625360753,0.3215628906605057,
MODELFILE06_Test_082_30_04_2025_05_35_13,5.549215308622129,0.4032872383384291,
MODELFILE06_Test_083_30_04_2025_05_35_13,2.285389126028437,0.2485660206478032,
MODELFILE06_Test_087_30_04_2025_05_35_13,1.9777013240832384,0.2450572593070836,
MODELFILE06_Test_096_30_04_2025_05_35_13,3.338616526797702,0.4074649613947355,
