testID,distanceTB1Away,distanceTB2Away
MODELFILE01_Test_006_26_05_2025_23_54_01,1.7053051188183228,0.1287796280927094
MODELFILE01_Test_015_26_05_2025_23_54_01,1.9224755717664543,1.6644680183015008
MODELFILE01_Test_030_26_05_2025_23_54_01,1.144848932588239,0.1127603253820627
MODELFILE01_Test_036_27_05_2025_00_45_23,2.92370530875421,2.978927372233035
MODELFILE01_Test_049_27_05_2025_00_45_23,2.604221136432211,2.6900298172414177
MODELFILE01_Test_050_27_05_2025_00_45_23,2.602037921297299,3.767841696880505
MODELFILE01_Test_061_27_05_2025_00_45_23,0.3398177935320739,0.0524488364005994
MODELFILE01_Test_066_27_05_2025_01_37_56,3.030881729910153,2.539195150934189
MODELFILE01_Test_067_27_05_2025_01_37_56,1.4313901222938843,0.0252738157609421
MODELFILE01_Test_073_27_05_2025_01_37_56,2.81702755574763,0.0426105131257002
MODELFILE01_Test_080_27_05_2025_01_37_56,2.322246691216128,3.807691046987436
MODELFILE01_Test_091_27_05_2025_01_37_56,0.1536277220924128,0.6615769116039841
MODELFILE01_Test_093_27_05_2025_01_37_56,2.164264558412324,0.95847874585516
MODELFILE01_Test_108_27_05_2025_02_29_30,0.3698697107052813,0.0700548546828352
MODELFILE01_Test_112_27_05_2025_02_29_30,0.0659187783695257,0.0390090102348653
MODELFILE01_Test_145_27_05_2025_03_18_18,0.1651237165189713,0.0316159800794488
MODELFILE01_Test_155_27_05_2025_03_18_18,2.259867285556571,3.19408211869108
MODELFILE01_Test_158_27_05_2025_03_18_18,2.8799923737281468,3.213544036371024
MODELFILE01_Test_159_27_05_2025_03_18_18,1.0291518356495493,0.1887660768636535
MODELFILE01_Test_169_27_05_2025_04_07_55,0.9977698152622516,1.6702129081263275
MODELFILE01_Test_183_27_05_2025_04_07_55,0.0323753481969068,3.809908019581019
MODELFILE01_Test_199_27_05_2025_04_55_14,3.0089917675985025,2.477341240323049
MODELFILE01_Test_206_27_05_2025_04_55_14,1.6773684740453083,1.1065357970801402
MODELFILE01_Test_209_27_05_2025_04_55_14,1.233318742522917,3.828972664546426
MODELFILE01_Test_210_27_05_2025_04_55_14,0.0557575276501833,3.3597769206959405
MODELFILE01_Test_222_27_05_2025_04_55_14,1.440610119856763,3.3403551243165044
MODELFILE01_Test_231_27_05_2025_05_45_44,0.061740875736817,0.0483957988858048
MODELFILE01_Test_237_27_05_2025_05_45_44,3.0369071312550617,3.3971258613642368
MODELFILE01_Test_239_27_05_2025_05_45_44,0.0530717274589023,0.1241028466677164
MODELFILE01_Test_244_27_05_2025_05_45_44,2.495320197314663,1.312118877768485
MODELFILE01_Test_255_27_05_2025_05_45_44,2.676614470258315,1.376052065013577
MODELFILE02_Test_016_27_05_2025_06_37_53,2.80439462125315,1.836651529165812
MODELFILE02_Test_037_27_05_2025_07_26_35,2.0544814442132293,3.66999533659212
MODELFILE02_Test_055_27_05_2025_07_26_35,1.8264921955697584,2.8178802129810068
MODELFILE02_Test_056_27_05_2025_07_26_35,1.1817860737804249,3.8089005154260622
MODELFILE02_Test_066_27_05_2025_08_15_08,2.0178725209985906,0.65534437372059
MODELFILE02_Test_069_27_05_2025_08_15_08,2.8489783565918234,1.4057918443009307
MODELFILE02_Test_071_27_05_2025_08_15_08,2.644943966495521,3.80988654430138
MODELFILE02_Test_087_27_05_2025_08_15_08,0.7645422717470209,1.879148571125628
MODELFILE02_Test_096_27_05_2025_08_15_08,2.761896490205926,3.809687655231001
MODELFILE02_Test_101_27_05_2025_09_06_02,3.0341137482197307,2.4876071975166334
MODELFILE02_Test_103_27_05_2025_09_06_02,0.5223033205580712,0.0325632887006847
MODELFILE02_Test_120_27_05_2025_09_06_02,2.963787110791148,1.4287185980496582
MODELFILE02_Test_124_27_05_2025_09_06_02,2.9984908469427705,1.1020538606770898
MODELFILE02_Test_125_27_05_2025_09_06_02,0.9776887386485252,0.0299190925929816
MODELFILE02_Test_131_27_05_2025_09_57_08,1.851719364166981,3.809094452751955
MODELFILE02_Test_142_27_05_2025_09_57_08,2.136892124330361,0.8719541126779315
MODELFILE02_Test_144_27_05_2025_09_57_08,1.0283298519423796,1.1885590239711243
MODELFILE02_Test_158_27_05_2025_09_57_08,3.1154956882369405,3.3088267064503434
MODELFILE02_Test_162_27_05_2025_10_46_06,2.0015389344491434,0.0372644572980999
MODELFILE02_Test_168_27_05_2025_10_46_06,2.73552645572127,0.7831466663725305
MODELFILE02_Test_171_27_05_2025_10_46_06,2.625378213798656,2.71099322203012
MODELFILE02_Test_188_27_05_2025_10_46_06,1.032066945710379,3.4391645517731173
MODELFILE02_Test_201_27_05_2025_11_34_15,1.8871055352024355,1.9783724731687948
MODELFILE02_Test_206_27_05_2025_11_34_15,2.9432932607278457,1.4887264053574991
MODELFILE02_Test_218_27_05_2025_11_34_15,2.328181591038327,1.8636118247658704
MODELFILE02_Test_224_27_05_2025_11_34_15,3.049511684519239,0.4258560473977315
MODELFILE02_Test_229_27_05_2025_12_22_26,2.0176902707758053,2.4567756319008103
MODELFILE02_Test_234_27_05_2025_12_22_26,2.995683502208188,2.8722587455117448
MODELFILE02_Test_236_27_05_2025_12_22_26,0.8219447301676698,3.6319187427048254
MODELFILE02_Test_238_27_05_2025_12_22_26,2.3933813565327906,1.456916669038024
MODELFILE02_Test_244_27_05_2025_12_22_26,3.033048839766717,1.7988728125541815
MODELFILE02_Test_246_27_05_2025_12_22_26,3.1922870276179816,1.577762420732034
MODELFILE02_Test_252_27_05_2025_12_22_26,2.9950696121940346,2.55665525603651
MODELFILE03_Test_014_27_05_2025_13_12_24,1.926563557215434,3.5750657698980786
MODELFILE03_Test_016_27_05_2025_13_12_24,2.9581086506083665,1.585211162324163
MODELFILE03_Test_031_27_05_2025_13_12_24,2.7945618774524683,0.3503335536640728
MODELFILE03_Test_037_27_05_2025_14_04_07,0.2315132015077641,2.385209454299701
MODELFILE03_Test_039_27_05_2025_14_04_07,2.9686520904432574,1.3771540147415058
MODELFILE03_Test_042_27_05_2025_14_04_07,0.0543697506573974,2.0660010760086167
MODELFILE03_Test_047_27_05_2025_14_04_07,1.100264981987026,3.2014302292661143
MODELFILE03_Test_053_27_05_2025_14_04_07,2.820443596411619,2.3257338473449574
MODELFILE03_Test_060_27_05_2025_14_04_07,0.0560984822632987,3.479389253125196
