testName,distanceToHuman1
MODELFILE01_Test_001_04_07_2025_14_40_23,10.0
MODELFILE01_Test_002_04_07_2025_14_40_23,9.311496566235094
MODELFILE01_Test_003_04_07_2025_14_40_23,9.311255112837314
MODELFILE01_Test_004_04_07_2025_14_40_23,9.311460967585711
MODELFILE01_Test_005_04_07_2025_14_40_23,9.910991139954382
MODELFILE01_Test_006_04_07_2025_14_40_23,2.144684853144234
MODELFILE01_Test_007_04_07_2025_14_40_23,7.424001425202617
MODELFILE01_Test_008_04_07_2025_14_40_23,9.311459048698321
MODELFILE01_Test_009_04_07_2025_14_40_23,9.911081256723305
MODELFILE01_Test_010_04_07_2025_14_40_23,9.311002253070939
MODELFILE01_Test_012_04_07_2025_14_40_23,9.311062181314998
MODELFILE01_Test_013_04_07_2025_14_40_23,10.0
MODELFILE01_Test_014_04_07_2025_14_40_23,10.0
MODELFILE01_Test_015_04_07_2025_14_40_23,9.910989642041482
MODELFILE01_Test_017_04_07_2025_14_40_23,9.311219365166888
MODELFILE01_Test_018_04_07_2025_14_40_23,0.49483319544069865
MODELFILE01_Test_019_04_07_2025_14_40_23,4.266730959483039
MODELFILE01_Test_020_04_07_2025_14_40_23,9.911040995888959
MODELFILE01_Test_021_04_07_2025_14_40_23,8.711771553562173
MODELFILE01_Test_022_04_07_2025_14_40_23,2.1486600729501584
MODELFILE01_Test_023_04_07_2025_14_40_23,9.9111659040574
MODELFILE01_Test_024_04_07_2025_14_40_23,10.0
MODELFILE01_Test_025_04_07_2025_14_40_23,2.132639759507515
MODELFILE01_Test_026_04_07_2025_14_40_23,8.711313557780105
MODELFILE01_Test_027_04_07_2025_14_40_23,8.711383356846598
MODELFILE01_Test_028_04_07_2025_14_40_23,9.311002253070939
MODELFILE01_Test_029_04_07_2025_14_40_23,10.0
MODELFILE01_Test_030_04_07_2025_14_40_23,9.311302404206971
MODELFILE01_Test_031_04_07_2025_14_40_23,0.8589172170122064
MODELFILE01_Test_033_04_07_2025_15_47_25,10.0
MODELFILE01_Test_034_04_07_2025_15_47_25,9.310999870216556
MODELFILE01_Test_035_04_07_2025_15_47_25,8.111734889474796
MODELFILE01_Test_037_04_07_2025_15_47_25,9.311125298578874
