,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
45,SimAnnealingMulti(390),26,203,292,8.442531130479045,0.0,8.327638512364388,0.05268731836284238,23,"{'hypervolume': np.float64(8.327638512364388), 'igd': np.float64(0.05268731836284238)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.8076923076923077
46,SimAnnealingMulti(410),26,208,292,8.442531130479045,0.0,8.36462932202644,0.19107924405579935,23,"{'hypervolume': np.float64(8.36462932202644), 'igd': np.float64(0.19107924405579935)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.7692307692307693
47,SimAnnealingMulti(430),26,204,292,8.442531130479045,0.0,8.001190431419118,0.11756649491586477,26,"{'hypervolume': np.float64(8.001190431419118), 'igd': np.float64(0.11756649491586477)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.6923076923076923
48,SimAnnealingMulti(450),26,220,292,8.442531130479045,0.0,8.272565724842657,0.12007105831911469,21,"{'hypervolume': np.float64(8.272565724842657), 'igd': np.float64(0.12007105831911469)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.8076923076923077
49,SimAnnealingMulti(470),26,217,292,8.442531130479045,0.0,8.051199355954513,0.12365380996196237,25,"{'hypervolume': np.float64(8.051199355954513), 'igd': np.float64(0.12365380996196237)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.6923076923076923
50,SimAnnealingMulti(490),26,207,292,8.442531130479045,0.0,8.43055745849244,0.11637027781194226,22,"{'hypervolume': np.float64(8.43055745849244), 'igd': np.float64(0.11637027781194226)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.8461538461538461
51,SimAnnealingMulti(510),26,230,292,8.442531130479045,0.0,8.412675756117356,0.009045770914117865,27,"{'hypervolume': np.float64(8.412675756117356), 'igd': np.float64(0.009045770914117865)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.9230769230769231
52,NullDecisionNode,26,292,292,8.442531130479045,0.0,8.442531130479045,0.0,26,"{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",1.0
53,RandomDecisionNode,26,29,292,8.442531130479045,0.0,4.268446980480077,0.7294199037327083,12,"{'hypervolume': np.float64(4.268446980480077), 'igd': np.float64(0.7294199037327083)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.15384615384615385
54,FixedThreshold(1),26,134,292,8.442531130479045,0.0,8.442488253631437,0.18004621419679034,20,"{'hypervolume': np.float64(8.442488253631437), 'igd': np.float64(0.18004621419679034)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.7692307692307693
55,FixedThreshold(2),26,16,292,8.442531130479045,0.0,4.751403998525486,3.289966693366838,6,"{'hypervolume': np.float64(4.751403998525486), 'igd': np.float64(3.289966693366838)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.23076923076923078
56,FixedThreshold(3),26,0,292,8.442531130479045,0.0,0.0,0.0,0,"{'hypervolume': 0.0, 'igd': 0.0}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.0
57,IndicatorBased(hypervolume),26,72,292,8.442531130479045,0.0,7.871347972492995,0.46380700262788366,16,"{'hypervolume': np.float64(7.871347972492995), 'igd': np.float64(0.46380700262788366)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.5384615384615384
