,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
24,ID25n_estimators25_window_size0.5,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=25_window_size_0.5,25,0.5,0.7284090299016693,0.5774054128144993,0.7583403469283745,0.030396746589341828,0.07366973043628185,0.04822168635636752,0.0,4.388181289799467
18,ID19n_estimators50_window_size0.5,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=50_window_size_0.5,50,0.5,0.7269176394344842,0.5822983052914738,0.7603546467248036,0.03893973823423126,0.09572103749928067,0.06449121254459979,0.0,4.293627668799672
22,ID23num_kernels1000_n_estimators25,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_25,1000,25.0,0.7239717339172638,0.586126128180901,0.7650197728376715,0.016518583628009773,0.045423177035245184,0.029510597220296357,0.0,5.079312378200848
8,ID9num_kernels500_max_alpha20,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=500_max_alpha_20,500,20.0,0.7207848151552397,0.5891588535749699,0.7656622736950521,0.039329687805018956,0.08394570262086395,0.05403828471642037,0.0,1.663024927000515
25,ID26n_estimators25_window_size1.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=25_window_size_1.0,25,1.0,0.7207460935144283,0.5951225112173253,0.768544069385504,0.04599054126513234,0.10677146617814545,0.0668021304278154,0.0,3.6242695304001247
11,ID12num_kernels1000_max_alpha20,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=1000_max_alpha_20,1000,20.0,0.7201130453719136,0.5968676770633892,0.76815218797883,0.04970133372720248,0.11868498357463075,0.08252207684447437,0.0,1.9304964315997495
10,ID11num_kernels200_n_estimators25,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=200_n_estimators_25,200,25.0,0.7198068279404662,0.5935335174754152,0.770301194773339,0.020737983354795268,0.020009538689108087,0.013022549910883216,0.0,1.7247137299993482
5,ID6num_kernels200_max_alpha20,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=200_max_alpha_20,200,20.0,0.7186829846690704,0.5944004982011284,0.7705182756855841,0.03096846816415613,0.03999582364343564,0.026496887282144898,0.0,1.5213158027989266
7,ID8num_kernels500_max_alpha10,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=500_max_alpha_10,500,10.0,0.7176935984804796,0.5968674509022485,0.771166172351314,0.03881848849734759,0.07232324331552262,0.0465852500612782,0.0,1.5475245130008262
15,ID16num_kernels500_n_estimators50,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=500_n_estimators_50,500,50.0,0.7172993393457862,0.6018866549446328,0.774607021478547,0.023668035613070813,0.06694492862827721,0.04325063260539146,0.0,4.725888054600364
