,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
44,SimAnnealingSingle(930),18,266,476,6.681596709036519,0.0,6.390401848937943,0.21218601046234914,14,"{'hypervolume': np.float64(6.390401848937943), 'igd': np.float64(0.21218601046234914)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7777777777777778
45,SimAnnealingSingle(970),18,249,476,6.681596709036519,0.0,5.760981058390714,0.06173617340461515,15,"{'hypervolume': np.float64(5.760981058390714), 'igd': np.float64(0.06173617340461515)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6666666666666666
46,SimAnnealingSingle(1010),18,272,476,6.681596709036519,0.0,5.716202346468081,0.06775925175460214,14,"{'hypervolume': np.float64(5.716202346468081), 'igd': np.float64(0.06775925175460214)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7777777777777778
47,SimAnnealingSingle(1050),18,262,476,6.681596709036519,0.0,5.694575371708791,0.23207585178294243,12,"{'hypervolume': np.float64(5.694575371708791), 'igd': np.float64(0.23207585178294243)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
48,SimAnnealingSingle(1090),18,283,476,6.681596709036519,0.0,5.700110639353005,0.08420653964536645,14,"{'hypervolume': np.float64(5.700110639353005), 'igd': np.float64(0.08420653964536645)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6666666666666666
49,SimAnnealingSingle(1130),18,281,476,6.681596709036519,0.0,4.639367078285162,0.32928514873770953,12,"{'hypervolume': np.float64(4.639367078285162), 'igd': np.float64(0.32928514873770953)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
50,SimAnnealingSingle(1170),18,271,476,6.681596709036519,0.0,5.847628834471641,0.11315132435749267,18,"{'hypervolume': np.float64(5.847628834471641), 'igd': np.float64(0.11315132435749267)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.6111111111111112
51,SimAnnealingSingle(1210),18,294,476,6.681596709036519,0.0,6.299227748954134,0.08987911993800358,18,"{'hypervolume': np.float64(6.299227748954134), 'igd': np.float64(0.08987911993800358)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5555555555555556
52,SimAnnealingSingle(1250),18,284,476,6.681596709036519,0.0,5.4188117603631705,0.10148839864021804,16,"{'hypervolume': np.float64(5.4188117603631705), 'igd': np.float64(0.10148839864021804)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.5555555555555556
53,SimAnnealingSingle(1290),18,304,476,6.681596709036519,0.0,5.908921364437685,0.10133365564902294,14,"{'hypervolume': np.float64(5.908921364437685), 'igd': np.float64(0.10133365564902294)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7777777777777778
54,SimAnnealingSingle(1330),18,313,476,6.681596709036519,0.0,5.893378324543203,0.22633977607988984,14,"{'hypervolume': np.float64(5.893378324543203), 'igd': np.float64(0.22633977607988984)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.7222222222222222
